,dataid,local_15min_start_date,local_15min_end_date,days_in_between,intervals_full,grid_total_record_x,grid_total_record_y,grid_missing,solar_missing,has_pv,city,state
0,27,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17663,17663,0,0,yes,Brooktondale,New York
1,142,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Trumansburg,New York
2,203,2015-01-01 06:00:00+00:00,2016-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
3,387,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
4,558,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
5,661,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34700,34700,332,332,yes,Austin,Texas
6,914,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
7,950,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
8,1222,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
9,1240,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Groton,New York
10,1417,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
11,1450,2015-01-01 06:00:00+00:00,2016-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
12,1524,2015-01-01 06:00:00+00:00,2016-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
13,1642,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34468,34468,180,180,yes,Austin,Texas
14,1731,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34990,19048,0,15942,no,San Diego,California
15,2096,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
16,2318,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Trumansburg,New York
17,2335,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34467,34467,1,1,yes,Austin,Texas
18,2358,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Brooktondale,New York
19,2361,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34984,34984,0,0,yes,Austin,Texas
20,2606,2015-01-01 06:00:00+00:00,2016-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
21,2818,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34980,34980,0,0,yes,Austin,Texas
22,3000,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
23,3039,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34512,34512,524,524,yes,Austin,Texas
24,3456,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34928,34928,4,4,yes,Austin,Texas
25,3488,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
26,3517,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
27,3538,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35036,35036,0,0,yes,Austin,Texas
28,3687,2014-01-01 06:00:00+00:00,2015-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
29,3700,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
30,3864,2015-01-01 06:00:00+00:00,2016-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
31,3996,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Trumansburg,New York
32,4031,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35032,35032,4,4,yes,Austin,Texas
33,4283,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
34,4373,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34528,34528,4,4,yes,Austin,Texas
35,4495,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35001,19060,0,15941,no,San Diego,California
36,4550,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
37,4767,2018-01-01 06:00:00+00:00,2018-12-31 10:45:00+00:00,365,35040,34959,34959,0,0,yes,Austin,Texas
38,4934,2015-07-01 05:00:00+00:00,2016-07-01 04:45:00+00:00,366,35136,35132,0,0,35132,no,San Diego,California
39,5058,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
40,5587,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
41,5679,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
42,5746,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34603,32,133,34704,no,Austin,Texas
43,5982,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Ithaca,New York
44,5997,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,17664,0,0,yes,Ithaca,New York
45,6139,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35036,35036,0,0,yes,Austin,Texas
46,6377,2014-01-01 06:00:00+00:00,2015-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
47,6547,2014-10-01 05:00:00+00:00,2015-10-01 04:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
48,7062,2014-01-01 06:00:00+00:00,2015-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
49,7536,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34980,34980,4,4,yes,Austin,Texas
50,7719,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34880,34880,0,0,yes,Austin,Texas
51,7800,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35000,35000,20,20,yes,Austin,Texas
52,7901,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34888,0,4,34892,no,Austin,Texas
53,7951,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,Austin,Texas
54,8156,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34980,34980,4,4,yes,Austin,Texas
55,8342,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35005,19072,0,15933,no,San Diego,California
56,8386,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35032,0,4,35036,no,Austin,Texas
57,8565,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,Austin,Texas
58,8733,2014-03-01 06:00:00+00:00,2015-03-01 05:45:00+00:00,365,35040,35036,0,0,35036,no,San Diego,California
59,9019,2018-01-01 06:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,34928,34928,0,0,yes,Austin,Texas
60,9053,2019-05-01 05:00:00+00:00,2019-11-01 04:45:00+00:00,184,17664,17664,0,0,17664,no,Lansing,New York
61,9160,2018-01-01 08:00:00+00:00,2019-01-01 05:45:00+00:00,365,35040,35004,35004,0,0,yes,Austin,Texas
