,dataid,local_15min,solar_total,grid,sequence
1621229,27,2019-05-01 05:00:00,-0.003,0.997,1
1621238,27,2019-05-01 05:15:00,-0.003,0.75,2
1621214,27,2019-05-01 05:30:00,-0.003,0.608,3
1621213,27,2019-05-01 05:45:00,-0.003,1.057,4
1621344,27,2019-05-01 06:00:00,-0.003,0.518,5
1621259,27,2019-05-01 06:15:00,-0.003,1.163,6
1621258,27,2019-05-01 06:30:00,-0.003,0.591,7
1621257,27,2019-05-01 06:45:00,-0.003,1.155,8
1621414,27,2019-05-01 07:00:00,-0.003,0.84,9
1621413,27,2019-05-01 07:15:00,-0.003,0.697,10
1621412,27,2019-05-01 07:30:00,-0.003,1.049,11
1621411,27,2019-05-01 07:45:00,-0.003,0.514,12
1621488,27,2019-05-01 08:00:00,-0.003,1.145,13
1621487,27,2019-05-01 08:15:00,-0.003,0.534,14
1621486,27,2019-05-01 08:30:00,-0.003,1.047,15
1621485,27,2019-05-01 08:45:00,-0.003,0.695,16
1621576,27,2019-05-01 09:00:00,-0.003,0.985,17
1621563,27,2019-05-01 09:15:00,-0.003,0.818,18
1621562,27,2019-05-01 09:30:00,-0.003,1.001,19
1621561,27,2019-05-01 09:45:00,-0.003,0.98,20
1621702,27,2019-05-01 10:00:00,-0.002,1.032,21
1621671,27,2019-05-01 10:15:00,0.0,0.944,22
1621670,27,2019-05-01 10:30:00,0.0,1.732,23
1621669,27,2019-05-01 10:45:00,0.035,1.581,24
1621791,27,2019-05-01 11:00:00,0.108,1.292,25
1621790,27,2019-05-01 11:15:00,0.095,1.436,26
1621789,27,2019-05-01 11:30:00,0.158,1.273,27
1621788,27,2019-05-01 11:45:00,0.291,1.55,28
1621914,27,2019-05-01 12:00:00,0.453,0.812,29
1621875,27,2019-05-01 12:15:00,0.66,0.835,30
1621874,27,2019-05-01 12:30:00,0.934,0.0,31
1621873,27,2019-05-01 12:45:00,1.211,0.296,32
1622028,27,2019-05-01 13:00:00,1.307,-0.413,33
1621959,27,2019-05-01 13:15:00,1.502,-0.475,34
1621958,27,2019-05-01 13:30:00,1.931,-1.452,35
1621957,27,2019-05-01 13:45:00,2.283,-1.24,36
1622128,27,2019-05-01 14:00:00,1.976,-1.421,37
1622127,27,2019-05-01 14:15:00,2.289,-1.326,38
1622102,27,2019-05-01 14:30:00,2.605,-2.102,39
1622101,27,2019-05-01 14:45:00,2.634,-1.701,40
1622252,27,2019-05-01 15:00:00,2.76,-2.053,41
1622239,27,2019-05-01 15:15:00,2.527,-1.738,42
1622238,27,2019-05-01 15:30:00,3.843,-3.207,43
1622237,27,2019-05-01 15:45:00,4.12,-3.52,44
1622332,27,2019-05-01 16:00:00,4.379,-3.698,45
1622287,27,2019-05-01 16:15:00,3.297,-2.788,46
