,sequence,dataid,local_15min,solar_total,grid,sequence_reset,local_15min_localize
70363,70363,387,2019-05-01 00:00:00-05,-0.002,0.187,1,2019-05-01 00:00:00
70364,70364,387,2019-05-01 00:15:00-05,-0.002,0.277,2,2019-05-01 00:15:00
70365,70365,387,2019-05-01 00:30:00-05,-0.002,0.273,3,2019-05-01 00:30:00
70366,70366,387,2019-05-01 00:45:00-05,-0.002,0.243,4,2019-05-01 00:45:00
70367,70367,387,2019-05-01 01:00:00-05,-0.002,0.174,5,2019-05-01 01:00:00
70368,70368,387,2019-05-01 01:15:00-05,-0.002,0.194,6,2019-05-01 01:15:00
70369,70369,387,2019-05-01 01:30:00-05,-0.002,0.129,7,2019-05-01 01:30:00
70370,70370,387,2019-05-01 01:45:00-05,-0.002,0.251,8,2019-05-01 01:45:00
70371,70371,387,2019-05-01 02:00:00-05,-0.002,0.299,9,2019-05-01 02:00:00
70372,70372,387,2019-05-01 02:15:00-05,-0.002,0.168,10,2019-05-01 02:15:00
70373,70373,387,2019-05-01 02:30:00-05,-0.002,0.353,11,2019-05-01 02:30:00
70374,70374,387,2019-05-01 02:45:00-05,-0.002,0.452,12,2019-05-01 02:45:00
70375,70375,387,2019-05-01 03:00:00-05,-0.002,0.333,13,2019-05-01 03:00:00
70376,70376,387,2019-05-01 03:15:00-05,-0.002,0.3,14,2019-05-01 03:15:00
70377,70377,387,2019-05-01 03:30:00-05,-0.002,0.287,15,2019-05-01 03:30:00
70378,70378,387,2019-05-01 03:45:00-05,-0.002,0.252,16,2019-05-01 03:45:00
70379,70379,387,2019-05-01 04:00:00-05,-0.002,0.189,17,2019-05-01 04:00:00
70380,70380,387,2019-05-01 04:15:00-05,-0.002,0.226,18,2019-05-01 04:15:00
70381,70381,387,2019-05-01 04:30:00-05,-0.002,0.358,19,2019-05-01 04:30:00
70382,70382,387,2019-05-01 04:45:00-05,-0.002,0.279,20,2019-05-01 04:45:00
70383,70383,387,2019-05-01 05:00:00-05,-0.002,0.223,21,2019-05-01 05:00:00
70384,70384,387,2019-05-01 05:15:00-05,-0.002,0.456,22,2019-05-01 05:15:00
70385,70385,387,2019-05-01 05:30:00-05,-0.002,0.385,23,2019-05-01 05:30:00
70386,70386,387,2019-05-01 05:45:00-05,-0.001,0.411,24,2019-05-01 05:45:00
70387,70387,387,2019-05-01 06:00:00-05,-0.001,0.573,25,2019-05-01 06:00:00
70388,70388,387,2019-05-01 06:15:00-05,-0.001,0.767,26,2019-05-01 06:15:00
70389,70389,387,2019-05-01 06:30:00-05,-0.001,0.362,27,2019-05-01 06:30:00
70390,70390,387,2019-05-01 06:45:00-05,0.028,0.521,28,2019-05-01 06:45:00
70391,70391,387,2019-05-01 07:00:00-05,0.069,0.466,29,2019-05-01 07:00:00
70392,70392,387,2019-05-01 07:15:00-05,0.119,0.414,30,2019-05-01 07:15:00
70393,70393,387,2019-05-01 07:30:00-05,0.125,0.591,31,2019-05-01 07:30:00
70394,70394,387,2019-05-01 07:45:00-05,0.143,1.033,32,2019-05-01 07:45:00
70395,70395,387,2019-05-01 08:00:00-05,0.174,1.262,33,2019-05-01 08:00:00
70396,70396,387,2019-05-01 08:15:00-05,0.205,0.201,34,2019-05-01 08:15:00
70397,70397,387,2019-05-01 08:30:00-05,0.262,0.289,35,2019-05-01 08:30:00
70398,70398,387,2019-05-01 08:45:00-05,0.319,0.19,36,2019-05-01 08:45:00
70399,70399,387,2019-05-01 09:00:00-05,0.346,0.083,37,2019-05-01 09:00:00
70400,70400,387,2019-05-01 09:15:00-05,0.394,0.004,38,2019-05-01 09:15:00
70401,70401,387,2019-05-01 09:30:00-05,0.525,-0.139,39,2019-05-01 09:30:00
70402,70402,387,2019-05-01 09:45:00-05,0.568,-0.253,40,2019-05-01 09:45:00
70403,70403,387,2019-05-01 10:00:00-05,0.75,-0.338,41,2019-05-01 10:00:00
70404,70404,387,2019-05-01 10:15:00-05,0.643,0.051,42,2019-05-01 10:15:00
70405,70405,387,2019-05-01 10:30:00-05,0.794,-0.219,43,2019-05-01 10:30:00
70406,70406,387,2019-05-01 10:45:00-05,0.831,-0.188,44,2019-05-01 10:45:00
70407,70407,387,2019-05-01 11:00:00-05,1.212,-0.565,45,2019-05-01 11:00:00
70408,70408,387,2019-05-01 11:15:00-05,1.244,-0.785,46,2019-05-01 11:15:00
70409,70409,387,2019-05-01 11:30:00-05,1.715,-1.284,47,2019-05-01 11:30:00
70410,70410,387,2019-05-01 11:45:00-05,1.502,-1.046,48,2019-05-01 11:45:00
70411,70411,387,2019-05-01 12:00:00-05,1.584,-1.349,49,2019-05-01 12:00:00
