,Unnamed: 0,dataid,local_15min,solar_total,grid
1433271,1608739,9922,2018-01-01 09:00:00-06,,
1433272,1608740,9922,2018-01-01 09:15:00-06,,
1433273,1608741,9922,2018-01-01 09:30:00-06,,
1433274,1608742,9922,2018-01-01 09:45:00-06,,
1433275,1608743,9922,2018-01-01 10:00:00-06,,
1433276,1608744,9922,2018-01-01 10:15:00-06,,
1433277,1608745,9922,2018-01-01 10:30:00-06,,
1433278,1608746,9922,2018-01-01 10:45:00-06,,
1433279,1608747,9922,2018-01-01 11:00:00-06,,
1433280,1608748,9922,2018-01-01 11:15:00-06,,
1433281,1608749,9922,2018-01-01 11:30:00-06,,
1433282,1608750,9922,2018-01-01 04:45:00-06,,
1433283,1608751,9922,2018-01-01 05:00:00-06,,
1433284,1608752,9922,2018-01-01 05:15:00-06,,
1433285,1608753,9922,2018-01-01 05:30:00-06,,
1433286,1608754,9922,2018-01-01 05:45:00-06,,
1433287,1608755,9922,2018-01-01 06:00:00-06,,
1433288,1608756,9922,2018-01-01 06:15:00-06,,
1433289,1608757,9922,2018-01-01 06:30:00-06,,
1433290,1608758,9922,2018-01-01 06:45:00-06,,
1433291,1608759,9922,2018-01-01 07:00:00-06,,
1433292,1608760,9922,2018-01-01 07:15:00-06,,
1433293,1608761,9922,2018-01-01 07:30:00-06,,
1433294,1608762,9922,2018-01-01 07:45:00-06,,
1433295,1608763,9922,2018-01-01 08:00:00-06,,
1433296,1608764,9922,2018-01-01 08:15:00-06,,
1433297,1608765,9922,2018-01-01 08:30:00-06,,
1433298,1608766,9922,2018-01-01 08:45:00-06,,
1433299,1608767,9922,2018-01-01 00:00:00-06,,
1433300,1608768,9922,2018-01-01 00:15:00-06,,
1433301,1608769,9922,2018-01-01 00:30:00-06,,
1433302,1608770,9922,2018-01-01 00:45:00-06,,
1433303,1608771,9922,2018-01-01 01:00:00-06,,
1433304,1608772,9922,2018-01-01 01:15:00-06,,
1433305,1608773,9922,2018-01-01 01:30:00-06,,
1433306,1608774,9922,2018-01-01 01:45:00-06,,
1433307,1608775,9922,2018-01-01 02:00:00-06,,
1433308,1608776,9922,2018-01-01 02:15:00-06,,
1433309,1608777,9922,2018-01-01 02:30:00-06,,
1433310,1608778,9922,2018-01-01 02:45:00-06,,
1433311,1608779,9922,2018-01-01 03:00:00-06,,
1433312,1608780,9922,2018-01-01 03:15:00-06,,
1433313,1608781,9922,2018-01-01 03:30:00-06,,
1433314,1608782,9922,2018-01-01 03:45:00-06,,
1433315,1608783,9922,2018-01-01 04:00:00-06,,
1433316,1608784,9922,2018-01-01 04:15:00-06,,
1433317,1608785,9922,2018-01-01 04:30:00-06,,
1433318,1608786,9922,2018-01-01 11:45:00-06,,
1433319,1608787,9922,2018-01-01 12:00:00-06,,
1433320,1608788,9922,2018-01-01 12:15:00-06,,
1433321,1608789,9922,2018-01-01 12:30:00-06,,
1433322,1608790,9922,2018-01-01 12:45:00-06,,
1433323,1608791,9922,2018-01-01 13:00:00-06,,
1433324,1608792,9922,2018-01-01 13:15:00-06,,
1433325,1608793,9922,2018-01-01 13:30:00-06,,
1433326,1608794,9922,2018-01-01 13:45:00-06,,
1433327,1608795,9922,2018-01-01 14:00:00-06,,
1433328,1608796,9922,2018-01-01 14:15:00-06,,
1433329,1608797,9922,2018-01-01 14:30:00-06,,
1433330,1608798,9922,2018-01-01 14:45:00-06,,
1433331,1608799,9922,2018-01-01 15:00:00-06,,
1433332,1608800,9922,2018-01-01 15:15:00-06,,
